Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 17:10:00 GMT-0500 (Eastern Standard Time)","1:51","1:46","1:59","1:26","2:20"
"Mon Feb 13 2017 17:15:00 GMT-0500 (Eastern Standard Time)","1:39","1:38","1:55","1:25","2:15"
"Mon Feb 13 2017 17:20:00 GMT-0500 (Eastern Standard Time)","1:41","1:33","1:53","1:22","2:16"
"Mon Feb 13 2017 17:25:00 GMT-0500 (Eastern Standard Time)","1:44","1:30","1:46","1:20","2:13"
"Mon Feb 13 2017 17:30:00 GMT-0500 (Eastern Standard Time)","1:54","1:40","1:51","1:26","2:20"
"Mon Feb 13 2017 17:35:00 GMT-0500 (Eastern Standard Time)","2:05","1:50","1:59","1:33","2:25"
"Mon Feb 13 2017 17:40:00 GMT-0500 (Eastern Standard Time)","2:08","1:54","1:59","1:42","2:28"
"Mon Feb 13 2017 17:45:00 GMT-0500 (Eastern Standard Time)","2:24","2:04","2:07","1:49","2:53"
"Mon Feb 13 2017 17:50:00 GMT-0500 (Eastern Standard Time)","2:30","2:18","2:20","1:58","3:00"
"Mon Feb 13 2017 17:55:00 GMT-0500 (Eastern Standard Time)","2:53","2:42","2:37","2:04","3:13"
"Mon Feb 13 2017 18:00:00 GMT-0500 (Eastern Standard Time)","3:04","2:51","2:55","2:08","3:32"
"Mon Feb 13 2017 18:05:00 GMT-0500 (Eastern Standard Time)","3:12","2:57","3:02","2:20","3:35"
"Mon Feb 13 2017 18:10:00 GMT-0500 (Eastern Standard Time)","3:15","3:02","3:14","2:26","3:43"
"Mon Feb 13 2017 18:15:00 GMT-0500 (Eastern Standard Time)","3:23","3:17","3:30","2:40","3:54"
"Mon Feb 13 2017 18:20:00 GMT-0500 (Eastern Standard Time)","3:27","3:25","3:51","2:52","4:00"
"Mon Feb 13 2017 18:25:00 GMT-0500 (Eastern Standard Time)","3:34","3:26","3:59","2:57","4:10"
"Mon Feb 13 2017 18:30:00 GMT-0500 (Eastern Standard Time)","3:40","3:22","4:03","2:56","4:08"
"Mon Feb 13 2017 18:35:00 GMT-0500 (Eastern Standard Time)","3:51","3:30","4:04","2:58","4:19"
"Mon Feb 13 2017 18:40:00 GMT-0500 (Eastern Standard Time)","4:07","3:46","4:07","3:21","4:30"
"Mon Feb 13 2017 18:45:00 GMT-0500 (Eastern Standard Time)","4:09","3:55","4:13","3:26","4:33"
"Mon Feb 13 2017 18:50:00 GMT-0500 (Eastern Standard Time)","4:02","3:45","4:07","3:24","4:32"
"Mon Feb 13 2017 18:55:00 GMT-0500 (Eastern Standard Time)","3:55","3:42","4:06","3:16","4:26"
"Mon Feb 13 2017 19:00:00 GMT-0500 (Eastern Standard Time)","3:44","3:36","3:51","3:01","4:03"
"Mon Feb 13 2017 19:05:00 GMT-0500 (Eastern Standard Time)","3:31","3:12","3:31","2:53","3:51"
"Mon Feb 13 2017 19:10:00 GMT-0500 (Eastern Standard Time)","2:59","2:39","2:54","2:21","3:10"
"Mon Feb 13 2017 19:15:00 GMT-0500 (Eastern Standard Time)","2:12","2:08","2:07","1:56","2:27"
"Mon Feb 13 2017 19:20:00 GMT-0500 (Eastern Standard Time)","1:39","1:35","1:38","1:17","1:57"
"Mon Feb 13 2017 19:25:00 GMT-0500 (Eastern Standard Time)","1:24","1:17","1:19","1:00","1:34"
